Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
59.24141500000004,1223,,,,-0.01171875,-0.015625,-0.98046875,0.009868003149383627,0.6944958317446875,15.380502700805664,0.3831428261520341,0,2669,5.892929272425675,0,0,0,0,0.31640625,,
59.27331000000006,1222,,,,-0.0546875,0,-0.984375,0.00942971400180874,0.6999035898122524,15.383145332336426,0.3925596745731309,0,2666,6.038802525573165,0,0,0,0,0.318359375,,
59.30063500000024,1222,,,,-0.04296875,-0.076171875,-0.986328125,0.010112517304222546,0.7232862773193317,15.381820678710938,0.3995668264152482,0,2662,6.146065273080969,0,0,0,0,0.3203125,,
59.36814000000013,1222,,,,-0.01171875,-0.029296875,-0.9609375,0.010278728555158935,0.7306857928991684,15.380891799926758,0.3657817216636613,0,2662,5.6260490832997,0,0,0,0,0.3203125,,
59.40279000000004,1222,,,,-0.046875,-0.015625,-1.0078125,0.010225195923503747,0.7161085835007934,15.382784843444824,0.39354532678145915,0,2659,6.05382308802237,0,0,0,0,0.3203125,,
59.43120000000019,1222,,,,-0.025390625,0.080078125,-1.052734375,0.009286034811531424,0.6977917811622547,15.383637428283691,0.3551776381256059,0,2654,5.463924007558471,0,0,0,0,0.3203125,,
59.459084999999966,1222,,,,-0.041015625,0.001953125,-0.958984375,0.008761466544358299,0.6940047134539903,15.379557609558105,0.3842278989078477,0,2645,5.9092551064527115,0,0,0,0,0.3203125,,
59.48743999999994,1222,,,,-0.009765625,-0.01953125,-0.984375,0.009325729085391995,0.7170654456371682,15.383112907409668,0.3809726806404069,0,2639,5.860545760929905,0,0,0,0,0.3203125,,
59.5143049999997,1222,,,,-0.037109375,0.04296875,-1.0234375,0.00976515469129571,0.7142060458113316,15.38280200958252,0.3943732949020341,0,2636,6.06656631334469,0,0,0,0,0.3203125,,
59.5413049999997,1222,,,,-0.09375,0.037109375,-1.0390625,0.009726476812277923,0.6978136086418414,15.383501052856445,0.3697150917770341,0,2636,5.687512503608922,0,0,0,0,0.3203125,,
59.56748999999976,1222,,,,-0.01171875,0.001953125,-0.984375,0.010063466611427584,0.6879039329095529,15.384445190429688,0.3750047953845933,0,2636,5.769240720742576,0,0,0,0,0.3203125,,
59.59503499999968,1222,,,,-0.037109375,-0.044921875,-0.978515625,0.009392640242200767,0.713409342806423,15.383556365966797,0.3646966489078477,0,2633,5.610331454953078,0,0,0,0,0.3203125,,
59.622444999999836,1222,,,,-0.041015625,-0.033203125,-0.978515625,0.009517742761658537,0.7116522306997066,15.383501052856445,0.4032844277145341,0,2630,6.2039264183471445,0,0,0,0,0.3203125,,
59.648595000000206,1222,,,,-0.0234375,0.08984375,-1.03125,0.00953193895352813,0.6969405094583797,15.383601188659668,0.3899787636520341,0,2627,5.999277772069459,0,0,0,0,0.3203125,,
59.67431499999994,1222,,,,-0.09375,0.064453125,-1.041015625,0.009632476488515411,0.6842369163390144,15.381001472473145,0.3990119667770341,0,2626,6.137203648531967,0,0,0,0,0.3203125,,
59.71765999999968,1222,,,,-0.0234375,-0.0078125,-1.017578125,0.009496066208707313,0.6899993709498605,15.382501602172852,0.4002326699020341,0,2626,6.156579686009958,0,0,0,0,0.3203125,,
59.7489299999997,1221,,,,-0.03125,0.03125,-0.986328125,0.010012647314001597,0.6941629626809928,15.381336212158203,0.3792365761520341,0,2627,5.833165281742174,0,0,0,0,0.31640625,,
59.7775549999997,1220,,,,-0.080078125,-0.0078125,-0.97265625,0.009770482156390096,0.6945394867038607,15.385202407836914,0.3948615761520341,0,2627,6.075025272176554,0,0,0,0,0.314453125,,
59.81491000000015,1219,,,,-0.037109375,-0.02734375,-1.01171875,0.009695176718509673,0.7005420435901586,15.383112907409668,0.3820577533962205,0,2627,5.87723755764534,0,0,0,0,0.3125,,
59.84479000000004,1218,,,,-0.015625,0.04296875,-1.01953125,0.010019656610920826,0.6965075068320818,15.382002830505371,0.3729703100444749,0,2625,5.737030364798579,0,0,0,0,0.310546875,,
59.87637999999989,1217,,,,-0.05078125,-0.03125,-0.99609375,0.009642522765139239,0.6938592878712451,15.383201599121094,0.3772834511520341,0,2624,5.803827389083896,0,0,0,0,0.310546875,,
59.90405000000028,1216,,,,-0.009765625,0.0546875,-1.02734375,0.009251706218087595,0.7016770725286586,15.382184028625488,0.36760660727042704,0,2623,5.654592483172365,0,0,0,0,0.310546875,,
59.93472999999998,1215,,,,-0.009765625,0,-1.013671875,0.009214615454082734,0.6641665488591924,15.386500358581543,0.3477424355270341,0,2617,5.350539108930729,0,0,0,0,0.310546875,,
59.963635000000245,1214,,,,-0.0234375,-0.033203125,-0.978515625,0.008308567846161685,0.7006948359472644,15.38327407836914,0.3263246389152482,0,2606,5.019941358958108,0,0,0,0,0.310546875,,
59.99446499999985,1214,,,,-0.04296875,0.056640625,-1.029296875,0.007871814238259299,0.6822615294364327,15.386223793029785,0.3435378046752885,0,2592,5.285749544100143,0,0,0,0,0.310546875,,
60.023669999999925,1214,,,,-0.103515625,0.056640625,-1.046875,0.008225684559341894,0.6598373411266972,15.384800910949707,0.3518928261520341,0,2580,5.4138010723404815,0,0,0,0,0.30859375,,
60.05629000000004,1214,,,,0,-0.017578125,-0.921875,0.008879269608563162,0.6750912023922548,15.383637428283691,0.33742195088882,0,2571,5.190776952817752,0,0,0,0,0.306640625,,
60.087879999999885,1214,,,,-0.03125,-0.078125,-0.990234375,0.007931333527895074,0.6959181648832453,15.384401321411133,0.3431037636520341,0,2559,5.278445994909486,0,0,0,0,0.30859375,,
60.11834999999963,1214,,,,-0.009765625,0.126953125,-1.046875,0.008745865792352186,0.6451439003995241,15.384401321411133,0.3421272011520341,0,2550,5.263422165494045,0,0,0,0,0.30859375,,
60.14401499999966,1214,,,,-0.0625,0.017578125,-1.0390625,0.007732415799597917,0.653805862829947,15.384401321411133,0.3401740761520341,0,2541,5.233374506663164,0,0,0,0,0.30859375,,
60.16971999999974,1214,,,,-0.041015625,-0.14453125,-0.958984375,0.008916167223272207,0.6719043903726202,15.383001327514648,0.3550666542770341,0,2536,5.4619908140998,0,0,0,0,0.310546875,,
60.1994299999997,1213,,,,-0.037109375,-0.068359375,-0.994140625,0.008399051866596582,0.666098280802601,15.383001327514648,0.3532355995895341,0,2533,5.433823697411236,0,0,0,0,0.30859375,,
60.22616500000004,1213,,,,-0.099609375,0.029296875,-0.994140625,0.008674834707252879,0.6643084274765048,15.385600090026855,0.3514045449020341,0,2530,5.406569797680582,0,0,0,0,0.30859375,,
60.253584999999966,1213,,,,-0.03125,0.095703125,-1.076171875,0.008407660339093924,0.654224131907524,15.386000633239746,0.3465217324020341,0,2528,5.331583594169031,0,0,0,0,0.30859375,,
60.295274999999904,1213,,,,-0.037109375,-0.00390625,-0.98046875,0.008858875339856333,0.6098016639834855,15.385202407836914,0.3518928261520341,0,2527,5.413942356214812,0,0,0,0,0.30859375,,
